i,j,vx,vy,tipo_nodo
32,5,0.794193,0.000000,Fluido Libre
32,6,0.476597,0.000000,Fluido Libre
32,7,0.000000,0.000000,Pared
33,0,0.000000,0.000000,Pared
33,1,0.458364,0.000000,Fluido Libre
33,2,0.772484,0.000000,Fluido Libre
33,3,0.936799,0.000000,Fluido Libre
33,4,0.942465,0.000000,Fluido Libre
33,5,0.787485,0.000000,Fluido Libre
33,6,0.472922,0.000000,Fluido Libre
33,7,0.000000,0.000000,Pared
34,0,0.000000,0.000000,Pared
34,1,0.415495,0.000000,Fluido Libre
34,2,0.716088,0.000000,Fluido Libre
34,3,0.895399,0.000000,Fluido Libre
34,4,0.916028,0.000000,Fluido Libre
34,5,0.771379,0.000000,Fluido Libre
34,6,0.464822,0.000000,Fluido Libre
34,7,0.000000,0.000000,Pared
35,0,0.000000,0.000000,Pared
35,1,0.293220,0.000000,Fluido Libre
35,2,0.536470,0.000000,Fluido Libre
35,3,0.784494,0.000000,Fluido Libre
35,4,0.854649,0.000000,Fluido Libre
35,5,0.738152,0.000000,Fluido Libre
35,6,0.449556,0.000000,Fluido Libre
35,7,0.000000,0.000000,Pared
36,0,0.000000,0.000000,Obstáculo
36,1,0.000000,0.000000,Obstáculo
36,2,0.000000,0.000000,Obstáculo
36,3,0.559831,0.000000,Fluido Libre
36,4,0.748207,0.000000,Fluido Libre
36,5,0.685231,0.000000,Fluido Libre
36,6,0.426677,0.000000,Fluido Libre
36,7,0.000000,0.000000,Pared
37,0,0.000000,0.000000,Obstáculo
37,1,0.000000,0.000000,Obstáculo
37,2,0.000000,0.000000,Obstáculo
37,3,0.454157,0.000000,Fluido Libre
37,4,0.660478,0.000000,Fluido Libre
37,5,0.631266,0.000000,Fluido Libre
37,6,0.401713,0.000000,Fluido Libre
37,7,0.000000,0.000000,Pared
38,0,0.000000,0.000000,Obstáculo
38,1,0.000000,0.000000,Obstáculo
38,2,0.000000,0.000000,Obstáculo
38,3,0.400031,0.000000,Fluido Libre
38,4,0.599012,0.000000,Fluido Libre
38,5,0.586468,0.000000,Fluido Libre
38,6,0.379419,0.000000,Fluido Libre
38,7,0.000000,0.000000,Pared
39,0,0.000000,0.000000,Obstáculo
39,1,0.000000,0.000000,Obstáculo
39,2,0.000000,0.000000,Obstáculo
39,3,0.370155,0.000000,Fluido Libre
39,4,0.558539,0.000000,Fluido Libre
39,5,0.553319,0.000000,Fluido Libre
39,6,0.361953,0.000000,Fluido Libre
39,7,0.000000,0.000000,Pared
40,0,0.000000,0.000000,Obstáculo
40,1,0.000000,0.000000,Obstáculo
40,2,0.000000,0.000000,Obstáculo
40,3,0.353423,0.000000,Fluido Libre
40,4,0.533324,0.000000,Fluido Libre
40,5,0.530961,0.000000,Fluido Libre
40,6,0.349692,0.000000,Fluido Libre
40,7,0.000000,0.000000,Pared
41,0,0.000000,0.000000,Obstáculo
41,1,0.000000,0.000000,Obstáculo
41,2,0.000000,0.000000,Obstáculo
41,3,0.345934,0.000000,Fluido Libre
41,4,0.520130,0.000000,Fluido Libre
41,5,0.518183,0.000000,Fluido Libre
41,6,0.342442,0.000000,Fluido Libre
41,7,0.000000,0.000000,Pared
42,0,0.000000,0.000000,Obstáculo
42,1,0.000000,0.000000,Obstáculo
42,2,0.000000,0.000000,Obstáculo
42,3,0.349505,0.000000,Fluido Libre
42,4,0.519478,0.000000,Fluido Libre
42,5,0.515083,0.000000,Fluido Libre
42,6,0.340281,0.000000,Fluido Libre
42,7,0.000000,0.000000,Pared
43,0,0.000000,0.000000,Obstáculo
43,1,0.000000,0.000000,Obstáculo
43,2,0.000000,0.000000,Obstáculo
43,3,0.378258,0.000000,Fluido Libre
43,4,0.537778,0.000000,Fluido Libre
43,5,0.523853,0.000000,Fluido Libre
43,6,0.343835,0.000000,Fluido Libre
43,7,0.000000,0.000000,Pared
44,0,0.000000,0.000000,Pared
44,1,0.179362,0.000000,Fluido Libre
44,2,0.304871,0.000000,Fluido Libre
44,3,0.492864,0.000000,Fluido Libre
44,4,0.587926,0.000000,Fluido Libre
44,5,0.547102,0.000000,Fluido Libre
44,6,0.353474,0.000000,Fluido Libre
44,7,0.000000,0.000000,Pared
